ticker,date,kind,factor_step
SHY,2012-08-01,dividend,0.00030686
SHY,2012-09-04,dividend,0.00027858
SHY,2012-10-01,dividend,0.00025791
SHY,2012-11-01,dividend,0.00026377
SHY,2012-12-03,dividend,0.00023803
SHY,2012-12-26,dividend,0.00024691
SHY,2013-02-01,dividend,0.00024476
SHY,2013-03-01,dividend,0.00021778
SHY,2013-04-01,dividend,0.00021270
SHY,2013-05-01,dividend,0.00019732
SHY,2013-06-03,dividend,0.00020224
SHY,2013-07-01,dividend,0.00020454
SHY,2013-08-01,dividend,0.00021847
SHY,2013-09-03,dividend,0.00020816
SHY,2013-10-01,dividend,0.00021857
SHY,2013-11-01,dividend,0.00022551
SHY,2013-12-02,dividend,0.00022530
SHY,2013-12-26,dividend,0.00024623
SHY,2014-02-03,dividend,0.00027051
SHY,2014-03-03,dividend,0.00021703
SHY,2014-04-01,dividend,0.00025114
SHY,2014-05-01,dividend,0.00024877
SHY,2014-06-02,dividend,0.00026689
SHY,2014-07-01,dividend,0.00029367
SHY,2014-08-01,dividend,0.00031807
SHY,2014-09-02,dividend,0.00033222
SHY,2014-10-01,dividend,0.00035849
SHY,2014-11-03,dividend,0.00033657
SHY,2014-12-01,dividend,0.00034263
SHY,2014-12-24,dividend,0.00039174
SHY,2015-02-02,dividend,0.00038835
SHY,2015-03-02,dividend,0.00036646
SHY,2015-04-01,dividend,0.00043208
SHY,2015-05-01,dividend,0.00041554
SHY,2015-06-01,dividend,0.00043377
SHY,2015-07-01,dividend,0.00044378
SHY,2015-08-03,dividend,0.00044837
SHY,2015-09-01,dividend,0.00046923
SHY,2015-10-01,dividend,0.00046883
SHY,2015-11-02,dividend,0.00048500
SHY,2015-12-01,dividend,0.00048639
SHY,2015-12-24,dividend,0.00051070
SHY,2016-02-01,dividend,0.00053168
SHY,2016-03-01,dividend,0.00055070
SHY,2016-04-01,dividend,0.00059528
SHY,2016-05-02,dividend,0.00057684
SHY,2016-06-01,dividend,0.00059576
SHY,2016-07-01,dividend,0.00059052
SHY,2016-08-01,dividend,0.00059938
SHY,2016-09-01,dividend,0.00058916
SHY,2016-10-03,dividend,0.00057273
SHY,2016-11-01,dividend,0.00059573
SHY,2016-12-01,dividend,0.00058649
SHY,2016-12-22,dividend,0.00071747
SHY,2017-02-01,dividend,0.00060306
SHY,2017-03-01,dividend,0.00063316
SHY,2017-04-03,dividend,0.00069203
SHY,2017-05-01,dividend,0.00073119
SHY,2017-06-01,dividend,0.00075135
SHY,2017-07-03,dividend,0.00079244
SHY,2017-08-01,dividend,0.00083804
SHY,2017-09-01,dividend,0.00085070
SHY,2017-10-02,dividend,0.00085924
SHY,2017-11-01,dividend,0.00093038
SHY,2017-12-01,dividend,0.00093444
SHY,2017-12-21,dividend,0.00112116
SHY,2018-02-01,dividend,0.00103074
SHY,2018-03-01,dividend,0.00103480
SHY,2018-04-02,dividend,0.00113009
SHY,2018-05-01,dividend,0.00123823
SHY,2018-06-01,dividend,0.00151411
SHY,2018-07-02,dividend,0.00155784
SHY,2018-08-01,dividend,0.00165994
SHY,2018-09-04,dividend,0.00157449
SHY,2018-10-01,dividend,0.00164789
SHY,2018-11-01,dividend,0.00175178
SHY,2018-12-03,dividend,0.00170929
SHY,2018-12-18,dividend,0.00142397
SHY,2019-02-01,dividend,0.00181577
SHY,2019-03-01,dividend,0.00184281
SHY,2019-04-01,dividend,0.00194701
SHY,2019-05-01,dividend,0.00185903
SHY,2019-06-03,dividend,0.00199489
SHY,2019-07-01,dividend,0.00183939
SHY,2019-08-01,dividend,0.00177403
SHY,2019-09-03,dividend,0.00171865
SHY,2019-10-01,dividend,0.00159164
SHY,2019-11-01,dividend,0.00164279
SHY,2019-12-02,dividend,0.00158243
SHY,2019-12-19,dividend,0.00161299
SHY,2020-02-03,dividend,0.00158445
SHY,2020-03-02,dividend,0.00145764
SHY,2020-04-01,dividend,0.00122315
SHY,2020-05-01,dividend,0.00083368
SHY,2020-06-01,dividend,0.00080842
SHY,2020-07-01,dividend,0.00069996
SHY,2020-08-03,dividend,0.00058233
SHY,2020-09-01,dividend,0.00056770
SHY,2020-10-01,dividend,0.00046275
SHY,2020-11-02,dividend,0.00044665
SHY,2020-12-01,dividend,0.00038042
SHY,2020-12-17,dividend,0.00036995
SHY,2021-02-01,dividend,0.00034836
SHY,2021-03-01,dividend,0.00025529
SHY,2021-04-01,dividend,0.00022389
SHY,2021-05-03,dividend,0.00014191
SHY,2021-06-01,dividend,0.00013986
SHY,2021-07-01,dividend,0.00015303
SHY,2021-08-02,dividend,0.00014417
SHY,2021-09-01,dividend,0.00014858
SHY,2021-10-01,dividend,0.00012396
SHY,2021-11-01,dividend,0.00012803
SHY,2021-12-01,dividend,0.00058179
SHY,2021-12-16,dividend,0.00021101
SHY,2022-02-01,dividend,0.00027417
SHY,2022-03-01,dividend,0.00030052
SHY,2022-04-01,dividend,0.00043557
SHY,2022-05-02,dividend,0.00052612
SHY,2022-06-01,dividend,0.00077669
SHY,2022-07-01,dividend,0.00095413
SHY,2022-08-01,dividend,0.00106257
SHY,2022-09-01,dividend,0.00122105
SHY,2022-10-03,dividend,0.00133027
SHY,2022-11-01,dividend,0.00173691
SHY,2022-12-01,dividend,0.00203195
SHY,2022-12-15,dividend,0.00221636
SHY,2023-02-01,dividend,0.00186362
SHY,2023-03-01,dividend,0.00200389
SHY,2023-04-03,dividend,0.00219285
SHY,2023-05-01,dividend,0.00232625
SHY,2023-06-01,dividend,0.00241253
SHY,2023-07-03,dividend,0.00254091
SHY,2023-08-01,dividend,0.00261124
SHY,2023-09-01,dividend,0.00253333
SHY,2023-10-02,dividend,0.00258201
SHY,2023-11-01,dividend,0.00284290
SHY,2023-12-01,dividend,0.00302489
SHY,2023-12-14,dividend,0.00317074
SHY,2024-02-01,dividend,0.00294176
SHY,2024-03-01,dividend,0.00294179
SHY,2024-04-01,dividend,0.00330722
SHY,2024-05-01,dividend,0.00322391
SHY,2024-06-03,dividend,0.00321740
SHY,2024-07-01,dividend,0.00331155
SHY,2024-08-01,dividend,0.00330904
SHY,2024-09-03,dividend,0.00348128
SHY,2024-10-01,dividend,0.00328363
SHY,2024-11-01,dividend,0.00343790
SHY,2024-12-02,dividend,0.00322280
SHY,2024-12-18,dividend,0.00341487
SHY,2025-02-03,dividend,0.00332364
SHY,2025-03-03,dividend,0.00306388
SHY,2025-04-01,dividend,0.00338193
SHY,2025-05-01,dividend,0.00311828
SHY,2025-06-02,dividend,0.00328854
SHY,2025-07-01,dividend,0.00318716
SHY,2025-08-01,dividend,0.00326999
SHY,2025-09-02,dividend,0.00311352
SHY,2025-10-01,dividend,0.00308884
SHY,2025-11-03,dividend,0.00316624
SHY,2025-12-01,dividend,0.00299495
SHY,2025-12-19,dividend,0.00306936
SHY,2026-02-02,dividend,0.00301187
SHY,2026-03-02,dividend,0.00268072
SHY,2026-04-01,dividend,0.00299019
SHY,2026-05-01,dividend,0.00294356
SHY,2026-06-01,dividend,0.00295137
SHY,2026-07-01,dividend,0.00290239
SHY,2026-08-03,dividend,0.00305810
SHY,2026-09-01,dividend,0.00297942
SPY,2006-12-15,dividend,0.00553832
SPY,2007-03-16,dividend,0.00395259
SPY,2007-06-15,dividend,0.00428891
SPY,2007-09-21,dividend,0.00471974
SPY,2007-12-21,dividend,0.00528203
SPY,2008-03-20,dividend,0.00492605
SPY,2008-06-20,dividend,0.00497859
SPY,2008-09-19,dividend,0.00575443
SPY,2008-12-19,dividend,0.00805617
SPY,2009-03-20,dividend,0.00711210
SPY,2009-06-19,dividend,0.00561900
SPY,2009-09-18,dividend,0.00474368
SPY,2009-12-18,dividend,0.00535658
SPY,2010-03-19,dividend,0.00410450
SPY,2010-06-18,dividend,0.00473761
SPY,2010-09-17,dividend,0.00532624
SPY,2010-12-17,dividend,0.00522964
SPY,2011-03-18,dividend,0.00432794
SPY,2011-06-17,dividend,0.00493028
SPY,2011-09-16,dividend,0.00514659
SPY,2011-12-16,dividend,0.00630316
SPY,2012-03-16,dividend,0.00436252
SPY,2012-06-15,dividend,0.00515663
SPY,2012-12-21,dividend,0.00704136
SPY,2013-03-15,dividend,0.00442622
SPY,2013-06-21,dividend,0.00526418
SPY,2013-09-20,dividend,0.00485035
SPY,2013-12-20,dividend,0.00540111
SPY,2014-03-21,dividend,0.00439207
SPY,2014-06-20,dividend,0.00476740
SPY,2014-09-19,dividend,0.00465359
SPY,2014-12-19,dividend,0.00548857
SPY,2015-03-20,dividend,0.00444305
SPY,2015-06-19,dividend,0.00484100
SPY,2015-09-18,dividend,0.00517414
SPY,2015-12-18,dividend,0.00591403
SPY,2016-03-18,dividend,0.00512929
SPY,2016-06-17,dividend,0.00517563
SPY,2016-09-16,dividend,0.00502632
SPY,2016-12-16,dividend,0.00585922
SPY,2017-03-17,dividend,0.00433212
SPY,2017-06-16,dividend,0.00485335
SPY,2017-09-15,dividend,0.00493656
SPY,2017-12-15,dividend,0.00508668
SPY,2018-03-16,dividend,0.00398831
SPY,2018-06-15,dividend,0.00446874
SPY,2018-09-21,dividend,0.00450512
SPY,2018-12-21,dividend,0.00580744
SPY,2019-03-15,dividend,0.00438581
SPY,2019-06-21,dividend,0.00483894
SPY,2019-09-20,dividend,0.00459550
SPY,2019-12-20,dividend,0.00489244
SPY,2020-03-20,dividend,0.00584406
SPY,2020-06-19,dividend,0.00438210
SPY,2020-09-18,dividend,0.00398770
SPY,2020-12-18,dividend,0.00424459
SPY,2021-03-19,dividend,0.00326400
SPY,2021-06-18,dividend,0.00326062
SPY,2021-09-17,dividend,0.00319367
SPY,2021-12-17,dividend,0.00350825
SPY,2022-03-18,dividend,0.00309704
SPY,2022-06-17,dividend,0.00430071
SPY,2022-09-16,dividend,0.00409207
SPY,2022-12-16,dividend,0.00457202
SPY,2023-03-17,dividend,0.00380248
SPY,2023-06-16,dividend,0.00370170
SPY,2023-09-15,dividend,0.00351497
SPY,2023-12-15,dividend,0.00403819
